service,ip,device_type,timestamp,expected,reality,evidence,v1,v2
QR-1,192.168.31.183,AGX,2024-07-06 14:55:53.383515,0.3972385762834771,1.0,0.6327614237165229,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:53.890090,0.3972385762834771,1.0,0.6427614237165229,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:55.041952,0.9325434629529165,1.0,0.12745653704708354,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:55.550709,0.9325434629529165,1.0,0.14745653704708356,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:56.056828,0.9325434629529165,1.0,0.16745653704708355,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:56.562987,0.9325434629529165,1.0,0.18745653704708354,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:57.069023,0.9325434629529165,1.0,0.20745653704708356,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:57.574411,0.9325434629529165,1.0,0.22745653704708355,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:58.080036,0.9325434629529165,1.0,0.24745653704708356,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:58.586096,0.9325434629529165,1.0,0.26745653704708355,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:59.091069,0.9325434629529165,1.0,0.2874565370470835,,
QR-1,192.168.31.183,AGX,2024-07-06 14:55:59.596459,0.9325434629529165,1.0,0.30745653704708353,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:00.102723,0.9325434629529165,1.0,0.32745653704708355,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:00.609041,0.9325434629529165,1.0,0.34745653704708357,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:01.115144,0.9325434629529165,1.0,0.36745653704708353,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:01.620073,0.9325434629529165,1.0,0.38745653704708355,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:02.125794,0.9325434629529165,1.0,0.40745653704708357,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:02.630331,0.9325434629529165,1.0,0.42745653704708353,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:03.135352,0.9325434629529165,1.0,0.44745653704708355,,
QR-1,192.168.31.183,AGX,2024-07-06 14:56:03.641159,0.9325434629529165,0.9375,0.40495653704708356,,
