service,ip,device_type,timestamp,cpu
CV,192.168.31.183,AGX,2024-07-05 12:18:30.533383,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:30.752859,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:30.967462,7.3
CV,192.168.31.183,AGX,2024-07-05 12:18:31.186544,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:31.405877,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:31.625749,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:31.845160,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:32.064243,8.7
CV,192.168.31.183,AGX,2024-07-05 12:18:32.283981,7.2
CV,192.168.31.183,AGX,2024-07-05 12:18:32.503240,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:32.722644,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:32.942112,7.6
CV,192.168.31.183,AGX,2024-07-05 12:18:33.161327,7.2
CV,192.168.31.183,AGX,2024-07-05 12:18:33.380705,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:33.600412,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:33.820349,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:34.039431,9.3
CV,192.168.31.183,AGX,2024-07-05 12:18:34.259300,4.8
CV,192.168.31.183,AGX,2024-07-05 12:18:34.478520,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:34.697896,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:34.917407,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:35.131165,6.9
CV,192.168.31.183,AGX,2024-07-05 12:18:35.346811,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:35.560831,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:35.774033,4.6
CV,192.168.31.183,AGX,2024-07-05 12:18:35.987217,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:36.201048,7.4
CV,192.168.31.183,AGX,2024-07-05 12:18:36.414917,4.7
CV,192.168.31.183,AGX,2024-07-05 12:18:36.629086,6.6
CV,192.168.31.183,AGX,2024-07-05 12:18:36.842701,3.3
CV,192.168.31.183,AGX,2024-07-05 12:18:37.055943,8.6
CV,192.168.31.183,AGX,2024-07-05 12:18:37.271296,7.1
CV,192.168.31.183,AGX,2024-07-05 12:18:37.485098,5.1
CV,192.168.31.183,AGX,2024-07-05 12:18:37.698269,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:37.911785,6.2
CV,192.168.31.183,AGX,2024-07-05 12:18:38.131295,7.8
CV,192.168.31.183,AGX,2024-07-05 12:18:38.344794,9.0
CV,192.168.31.183,AGX,2024-07-05 12:18:38.558847,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:38.772899,5.5
CV,192.168.31.183,AGX,2024-07-05 12:18:38.987340,7.9
CV,192.168.31.183,AGX,2024-07-05 12:18:39.202571,6.5
CV,192.168.31.183,AGX,2024-07-05 12:18:39.416857,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:39.635389,6.0
CV,192.168.31.183,AGX,2024-07-05 12:18:39.849136,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:40.060444,9.1
CV,192.168.31.183,AGX,2024-07-05 12:18:40.279595,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:40.493872,5.8
CV,192.168.31.183,AGX,2024-07-05 12:18:40.707950,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:40.925320,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:41.144816,9.0
CV,192.168.31.183,AGX,2024-07-05 12:18:41.358734,4.9
CV,192.168.31.183,AGX,2024-07-05 12:18:41.575202,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:41.790309,5.4
CV,192.168.31.183,AGX,2024-07-05 12:18:42.003902,8.6
CV,192.168.31.183,AGX,2024-07-05 12:18:42.218131,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:42.431680,5.9
CV,192.168.31.183,AGX,2024-07-05 12:18:42.650782,6.2
CV,192.168.31.183,AGX,2024-07-05 12:18:42.864245,5.1
CV,192.168.31.183,AGX,2024-07-05 12:18:43.076235,10.0
CV,192.168.31.183,AGX,2024-07-05 12:18:43.290039,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:43.503853,4.8
CV,192.168.31.183,AGX,2024-07-05 12:18:43.718178,5.9
CV,192.168.31.183,AGX,2024-07-05 12:18:43.937886,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:44.157538,7.6
CV,192.168.31.183,AGX,2024-07-05 12:18:44.376822,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:44.596450,6.0
CV,192.168.31.183,AGX,2024-07-05 12:18:44.813584,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:45.026521,7.9
CV,192.168.31.183,AGX,2024-07-05 12:18:45.245888,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:45.464939,5.6
CV,192.168.31.183,AGX,2024-07-05 12:18:45.684242,6.5
CV,192.168.31.183,AGX,2024-07-05 12:18:45.903633,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:46.123046,9.5
CV,192.168.31.183,AGX,2024-07-05 12:18:46.342401,7.4
CV,192.168.31.183,AGX,2024-07-05 12:18:46.561808,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:46.781486,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:46.995240,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:47.214833,6.7
CV,192.168.31.183,AGX,2024-07-05 12:18:47.432835,5.8
CV,192.168.31.183,AGX,2024-07-05 12:18:47.652532,6.2
CV,192.168.31.183,AGX,2024-07-05 12:18:47.868883,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:48.088265,8.7
CV,192.168.31.183,AGX,2024-07-05 12:18:48.302597,6.5
CV,192.168.31.183,AGX,2024-07-05 12:18:48.522374,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:48.742091,4.9
CV,192.168.31.183,AGX,2024-07-05 12:18:48.956376,8.0
CV,192.168.31.183,AGX,2024-07-05 12:18:49.176104,8.2
CV,192.168.31.183,AGX,2024-07-05 12:18:49.395441,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:49.614930,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:49.829451,5.8
CV,192.168.31.183,AGX,2024-07-05 12:18:50.043977,8.6
CV,192.168.31.183,AGX,2024-07-05 12:18:50.257372,7.0
CV,192.168.31.183,AGX,2024-07-05 12:18:50.471204,5.9
CV,192.168.31.183,AGX,2024-07-05 12:18:50.685361,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:50.899805,4.3
CV,192.168.31.183,AGX,2024-07-05 12:18:51.118551,7.0
CV,192.168.31.183,AGX,2024-07-05 12:18:51.337352,6.7
CV,192.168.31.183,AGX,2024-07-05 12:18:51.556984,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:51.776747,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:51.993037,8.5
CV,192.168.31.183,AGX,2024-07-05 12:18:52.207253,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:52.426843,4.6
