service,ip,device_type,timestamp,cpu
CV,192.168.31.205,NX,2024-07-05 12:18:01.625008,12.2
CV,192.168.31.205,NX,2024-07-05 12:18:10.181628,0.0
CV,192.168.31.205,NX,2024-07-05 12:18:10.398314,42.9
CV,192.168.31.205,NX,2024-07-05 12:18:10.608875,16.1
CV,192.168.31.205,NX,2024-07-05 12:18:10.821060,15.5
CV,192.168.31.205,NX,2024-07-05 12:18:11.031917,11.6
CV,192.168.31.205,NX,2024-07-05 12:18:11.243748,8.8
CV,192.168.31.205,NX,2024-07-05 12:18:11.454594,7.9
CV,192.168.31.205,NX,2024-07-05 12:18:11.665344,15.3
CV,192.168.31.205,NX,2024-07-05 12:18:11.877296,9.8
CV,192.168.31.205,NX,2024-07-05 12:18:12.088984,7.9
CV,192.168.31.205,NX,2024-07-05 12:18:12.300446,10.9
CV,192.168.31.205,NX,2024-07-05 12:18:12.511141,11.5
CV,192.168.31.205,NX,2024-07-05 12:18:12.722339,16.0
CV,192.168.31.205,NX,2024-07-05 12:18:12.933318,10.9
CV,192.168.31.205,NX,2024-07-05 12:18:13.144142,7.2
CV,192.168.31.205,NX,2024-07-05 12:18:13.355797,7.2
CV,192.168.31.205,NX,2024-07-05 12:18:13.566638,11.0
CV,192.168.31.205,NX,2024-07-05 12:18:13.778353,12.3
CV,192.168.31.205,NX,2024-07-05 12:18:13.991100,8.5
CV,192.168.31.205,NX,2024-07-05 12:18:14.204140,10.0
CV,192.168.31.205,NX,2024-07-05 12:18:14.415489,8.1
CV,192.168.31.205,NX,2024-07-05 12:18:14.627463,11.6
CV,192.168.31.205,NX,2024-07-05 12:18:14.838550,15.9
CV,192.168.31.205,NX,2024-07-05 12:18:15.049998,6.4
CV,192.168.31.205,NX,2024-07-05 12:18:15.261213,10.2
CV,192.168.31.205,NX,2024-07-05 12:18:15.472926,10.9
CV,192.168.31.205,NX,2024-07-05 12:18:15.684566,14.8
CV,192.168.31.205,NX,2024-07-05 12:18:15.900999,9.2
CV,192.168.31.205,NX,2024-07-05 12:18:16.117329,12.6
