service,device_type,timestamp,pixel,fps,pv,surprise
QR,AGX,2024-07-31 12:15:23.612017,720,15,1.0,269.67430753721936
QR,AGX,2024-07-31 12:15:28.715491,480,5,1.0,189.04570226899799
QR,AGX,2024-07-31 12:15:33.930849,480,25,1.0,316.4421020280022
QR,AGX,2024-07-31 12:15:39.058840,1080,25,0.7546296296296297,425.3470068496965
QR,AGX,2024-07-31 12:15:44.140888,1080,5,0.7953703703703704,192.01339847771143
QR,AGX,2024-07-31 12:15:49.272067,1080,25,0.6657326185834959,421.429355181758
QR,AGX,2024-07-31 12:15:54.452164,720,25,0.6928665449419655,362.2885169517924
QR,AGX,2024-07-31 12:15:59.581667,1080,25,0.6062582268242198,408.06303182194154
QR,AGX,2024-07-31 12:16:04.710354,1080,20,0.5388962016215287,437.77574454758314
QR,AGX,2024-07-31 12:16:09.869407,1080,20,0.48500658145937586,433.7325274434576
QR,AGX,2024-07-31 12:16:14.998381,1080,20,0.44091507405397806,416.3470988772824
QR,AGX,2024-07-31 12:16:20.131116,1080,20,0.4041721512161465,440.69492487578594
QR,AGX,2024-07-31 12:16:25.315302,720,20,0.4490553950447241,299.05067683104596
QR,AGX,2024-07-31 12:16:30.494405,1080,20,0.41821153677798273,414.14529033348265
QR,AGX,2024-07-31 12:16:35.647238,1080,15,0.3903307676594505,427.98153109877376
QR,AGX,2024-07-31 12:16:40.800401,1080,15,0.3921447721000897,380.6175518126139
QR,AGX,2024-07-31 12:16:45.929587,1080,15,0.3690774325647903,429.82188355950336
QR,AGX,2024-07-31 12:16:51.064256,1080,15,0.3485731307556353,424.9087633540271
QR,AGX,2024-07-31 12:16:56.197264,1080,15,0.33022717650533867,425.0411780395827
QR,AGX,2024-07-31 12:17:01.330454,1080,15,0.31371581768007173,411.8745638434574
QR,AGX,2024-07-31 12:17:06.489570,1080,15,0.3190736124665789,365.08004677585456
QR,AGX,2024-07-31 12:17:11.622503,1080,15,0.3045702664453707,402.12139115860174
QR,AGX,2024-07-31 12:17:16.754537,1080,20,0.2913280809477459,412.0392980417165
QR,AGX,2024-07-31 12:17:21.885562,1080,15,0.2791894109082565,403.22636713862966
QR,AGX,2024-07-31 12:17:27.017526,1080,20,0.26802183447192623,404.86290697058206
QR,AGX,2024-07-31 12:17:32.150494,1080,15,0.2673286869922368,384.170675895476
QR,AGX,2024-07-31 12:17:37.276942,1080,25,0.25742762451104284,387.0061121597579
QR,AGX,2024-07-31 12:17:42.478232,720,25,0.27943678829730256,352.1746516944283
QR,AGX,2024-07-31 12:17:47.643115,480,20,0.3038580825280044,299.5883564925727
QR,AGX,2024-07-31 12:17:52.823215,720,25,0.3215645313234627,368.1527375824365
QR,AGX,2024-07-31 12:17:58.040560,720,25,0.3390352849819588,355.7069664055125
QR,AGX,2024-07-31 12:18:03.231456,720,25,0.3549072690609664,365.79029690160337
QR,AGX,2024-07-31 12:18:08.456681,720,25,0.3698173147109433,365.6075240309534
QR,AGX,2024-07-31 12:18:13.641779,720,25,0.38185055158477005,381.0257247932353
QR,AGX,2024-07-31 12:18:18.850744,720,25,0.39597735467645706,354.32774994809256
QR,AGX,2024-07-31 12:18:24.035478,720,25,0.40903296653109156,357.39354367470787
QR,AGX,2024-07-31 12:18:29.235174,720,25,0.41993748094917016,372.1435351687152
QR,AGX,2024-07-31 12:18:34.421451,720,25,0.4308615353029223,366.79787551777605
QR,AGX,2024-07-31 12:18:39.602808,720,25,0.4419826070472918,355.7061154397485
QR,AGX,2024-07-31 12:18:44.785771,720,25,0.4507784026958518,379.4659808653734
QR,AGX,2024-07-31 12:18:49.967825,720,25,0.46040236420917907,363.1744618173276
QR,AGX,2024-07-31 12:18:55.185314,720,25,0.47002572061689696,355.33292657176435
QR,AGX,2024-07-31 12:19:00.365394,720,25,0.4783165320501063,370.6507896249973
QR,AGX,2024-07-31 12:19:05.573089,720,25,0.4862304884181698,370.53688061193145
QR,AGX,2024-07-31 12:19:10.755714,720,25,0.494898447782073,353.0160358496213
QR,AGX,2024-07-31 12:19:15.962579,720,25,0.5016207361202933,375.54641809051566
QR,AGX,2024-07-31 12:19:21.160179,720,25,0.5082763159834939,372.20754281937104
QR,AGX,2024-07-31 12:19:26.374608,720,25,0.5143538927338378,372.835868152933
QR,AGX,2024-07-31 12:19:31.591362,720,25,0.5213195296799388,359.08434557779447
QR,AGX,2024-07-31 12:19:36.772867,720,25,0.5284189122822163,352.5256750958845
QR,AGX,2024-07-31 12:19:41.947099,720,25,0.5339504299980449,369.33288722760284
QR,AGX,2024-07-31 12:19:47.128299,720,25,0.5399694366425094,363.28286705134644
QR,AGX,2024-07-31 12:19:52.314198,720,25,0.5457315383047691,361.95748168508317
QR,AGX,2024-07-31 12:19:57.537099,720,25,0.5507074911082126,371.57491475134873
QR,AGX,2024-07-31 12:20:02.748243,720,25,0.5549401758996847,381.1915261826558
QR,AGX,2024-07-31 12:20:07.929429,720,25,0.5610275537109998,344.3186980740949
QR,AGX,2024-07-31 12:20:13.128362,720,25,0.5658349921790832,364.8712029497979
QR,AGX,2024-07-31 12:20:18.325707,720,25,0.5697656721930592,377.72930438644323
